LineItem,Parent,GrandParent
Main Bank - 0776,Interest on Loans,FINANCIAL COST
Wages - Others,STAFF COST,STAFF COST
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Telephone,COMMUNICATION,COMMUNICATION
Deposit - Beer Kegs,Total Cost of Sales - Beer,Total Cost of Sales - Other Bev
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Wages - Agency,OTHER STAFF COST,OTHER STAFF COST
BOA Savings - 4860,Other Expenses,TOTAL OTHER EXPENSE
Wages ? Contractor,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Wages - Bonus,STAFF COST,STAFF COST
Website Designing,Professional and Consutlng,Professional and Consutlng
Insurance,OCCUPANCY,OCCUPANCY
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Account Receivable A/C,A/R Write Off,TOTAL OTHER EXPENSE
Kitchen/Hood,Kitchen/Hood,Other Expenses
Revenue - Liquor,REVENUE,REVENUE
Inventory,Total Cost of Goods Sold,COST OF GOODS SOLD
Leasehold,Leasehold,Other Expenses
Hood Buildout,TOTAL REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Inventory Asset,Total Wages - F.O.H. Wages,STAFF COST
Wine Consignment- Stock Adjust,Cost of Sales -Wine Consignment,Cost of Sales -Wine Consignment
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Federal FUTA,TOTAL STAFF COST,STAFF COST
Liquor Attorney,Other Charges - Other,Other Expenses
Deposit - Other,Other Income & Expenses,Total Other Expenses
Wages - 1099,OTHER STAFF COST,OTHER STAFF COST
Royalty Payables,Other Income & Expenses,Other Income & Expenses
PPP Loan Liability,Total Other Expenses,TOTAL OTHER STAFF COST
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Kitchen Buildout,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Shipping Charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Storage Rent,OCCUPANCY,OCCUPANCY
Liquor - Stock Adjustment,Cost of Sales - Liquor,Cost of Sales - Liquor
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Restaurant,Restaurant,SUPPLIES & MAINTENANCE
Medicare,Employer Taxes,STAFF COST
BOA  Operating  -  2837,Total Operating Expenses,TOTAL OTHER EXPENSE
Amex #81057 - Riccardo,Total Wages - F.O.H. Wages,STAFF COST
Unearn Revenue,Other Income & Expenses,TOTAL OTHER STAFF COST
Staff Disability Ins.,Total Employer Benefits,Total Employer Benefits
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales -Wine Consignment,Cost of Sales - Wine & Champagn,COST OF GOODS SOLD
Interest on Loans,Interest on Loans,Interest on Loans
Ny Re-employment,Total Employer Taxes,STAFF COST
Payroll Charges,FINANCIAL COST,FINANCIAL COST
Cost of Sales - Tea/Coffee,COST OF GOODS SOLD,COST OF GOODS SOLD
Liquor Inventory,Cost of Sales - Liquor,Gross Profit - Liquor
SBA Loan-1,Other Charges - Other,TOTAL OTHER STAFF COST
2,TOTAL WAGES - F.O.H. Wages,STAFF COST
Occupancy,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Rent,OCCUPANCY,OCCUPANCY
OASDI / Social Security,Total Employer Taxes,STAFF COST
