LineItem,GrandParent,Parent
TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
TOTAL STAFF COST,TOTAL STAFF COST,TOTAL STAFF COST
Revenue - Other,REVENUE,REVENUE
Revenue - Food,REVENUE,REVENUE
Revenue - NA Beverages,REVENUE,REVENUE
Revenue - Wines,REVENUE,REVENUE
Revenue - Liquor,REVENUE,REVENUE
Revenue - Beer,REVENUE,REVENUE
Revenue - Retails,REVENUE,REVENUE
Revenue - Sake,REVENUE,REVENUE
Revenue - Comps,REVENUE,REVENUE
Revenue - 3rd Party Diff,REVENUE,REVENUE
Fees Income,REVENUE,REVENUE
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
EBITDA,EBITDA,EBITDA
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
P & L Depreciation,P & L Depreciation & Amortization,P & L Depreciation
P & L Amortization,P & L Depreciation & Amortization,P & L Amortization
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - NA Beverages,COST OF GOODS SOLD,Total Cost of Sales - NA Beverages
Total Cost of Sales - NA Beverages,COST OF GOODS SOLD,Total Cost of Sales - NA Beverages
Total Cost of Sales - NA Beverages,COST OF GOODS SOLD,Total Cost of Sales - NA Beverages
Total Cost of Sales - Other Beverages,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Total Cost of Sales - Other Beverages,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Total Cost of Sales - Other Beverages,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Total Cost of Sales - Wine,COST OF GOODS SOLD,Total Cost of Sales - Wine
Total Cost of Sales - Wine,COST OF GOODS SOLD,Total Cost of Sales - Wine
Total Cost of Sales - Wine,COST OF GOODS SOLD,Total Cost of Sales - Wine
Total Cost of Sales - Liquor,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Total Cost of Sales - Liquor,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Total Cost of Sales - Liquor,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Total Cost of Sales - Beer,COST OF GOODS SOLD,Total Cost of Sales - Beer
Total Cost of Sales - Beer,COST OF GOODS SOLD,Total Cost of Sales - Beer
Total Cost of Sales - Beer,COST OF GOODS SOLD,Total Cost of Sales - Beer
Total Cost of Sales - Sake,COST OF GOODS SOLD,Total Cost of Sales - Sake
Total Cost of Sales - Sake,COST OF GOODS SOLD,Total Cost of Sales - Sake
Total Cost of Sales - Sake,COST OF GOODS SOLD,Total Cost of Sales - Sake
Total Cost of Sales - Retails,COST OF GOODS SOLD,Total Cost of Sales - Retails
Total Cost of Sales - Retails,COST OF GOODS SOLD,Total Cost of Sales - Retails
Total Cost of Sales - Retails,COST OF GOODS SOLD,Total Cost of Sales - Retails
COST OF GOODS SOLD,COST OF GOODS SOLD,COST OF GOODS SOLD
Labor Cost - Other,TOTAL STAFF COST,Labor Cost - Other
Wages - 1099,EMPLOYER TAXES,EMPLOYER TAXES
Total Wages - B.O.H. Salaried,TOTAL STAFF COST,Total Wages - B.O.H. Salaried
Total Wages - F.O.H. Salaried,TOTAL STAFF COST,Total Wages - F.O.H. Salaried
Total Wages - F.O.H. Salaried,TOTAL STAFF COST,Total Wages - F.O.H. Salaried
Total Wages - F.O.H. Salaried,TOTAL STAFF COST,Total Wages - F.O.H. Salaried
Total Wages - F.O.H. Salaried,TOTAL STAFF COST,Total Wages - F.O.H. Salaried
Total Wages - F.O.H. Salaried,TOTAL STAFF COST,Total Wages - F.O.H. Salaried
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly,TOTAL STAFF COST,Total Wages - F.O.H. Hourly
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - F.O.H. Hourly - OT
BOH - Other,TOTAL STAFF COST,BOH - Other
Total Wages - B.O.H. Salaried,TOTAL STAFF COST,Total Wages - B.O.H. Salaried
Total Wages - B.O.H. Salaried,TOTAL STAFF COST,Total Wages - B.O.H. Salaried
Total Wages - B.O.H. Salaried,TOTAL STAFF COST,Total Wages - B.O.H. Salaried
Total Wages - B.O.H. Salaried,TOTAL STAFF COST,Total Wages - B.O.H. Salaried
Total Wages - B.O.H. Hourly,TOTAL STAFF COST,Total Wages - B.O.H. Hourly
Total Wages - B.O.H. Hourly,TOTAL STAFF COST,Total Wages - B.O.H. Hourly
Total Wages - B.O.H. Hourly,TOTAL STAFF COST,Total Wages - B.O.H. Hourly
Total Wages - B.O.H. Hourly,TOTAL STAFF COST,Total Wages - B.O.H. Hourly
Total Wages - B.O.H. Hourly,TOTAL STAFF COST,Total Wages - B.O.H. Hourly
Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - B.O.H. Hourly - OT
Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - B.O.H. Hourly - OT
Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - B.O.H. Hourly - OT
Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST,Total Wages - B.O.H. Hourly - OT
Employer Taxes - Other,EMPLOYER TAXES,EMPLOYER TAXES
Social Security,EMPLOYER TAXES,EMPLOYER TAXES
Medicare,EMPLOYER TAXES,EMPLOYER TAXES
Federal FUTA,EMPLOYER TAXES,EMPLOYER TAXES
NY MTA,EMPLOYER TAXES,EMPLOYER TAXES
State SUI,EMPLOYER TAXES,EMPLOYER TAXES
OASDI,EMPLOYER TAXES,EMPLOYER TAXES
Ny Re-employment,EMPLOYER TAXES,EMPLOYER TAXES
Other Staff Costs - Other,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Employee Benefits - Other,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance - Other,OTHER STAFF COST,OTHER STAFF COST
Medical,OTHER STAFF COST,OTHER STAFF COST
Dental,OTHER STAFF COST,OTHER STAFF COST
Vision,OTHER STAFF COST,OTHER STAFF COST
NY Paid Family Leave,OTHER STAFF COST,OTHER STAFF COST
NY Disability Payable Leave,OTHER STAFF COST,OTHER STAFF COST
401K,OTHER STAFF COST,OTHER STAFF COST
Workers' Compensation Insurance,OTHER STAFF COST,OTHER STAFF COST
Mealbreak penalties,OTHER STAFF COST,OTHER STAFF COST
Vacation/PTO accruals,OTHER STAFF COST,OTHER STAFF COST
Bonus,OTHER STAFF COST,OTHER STAFF COST
Commission,OTHER STAFF COST,OTHER STAFF COST
Miscellaneous,OTHER STAFF COST,OTHER STAFF COST
Total Fringe Benefits,OTHER STAFF COST,OTHER STAFF COST
Contract Labor - Other,CONTRACT LABOR,CONTRACT LABOR
Wages - Agency,CONTRACT LABOR,CONTRACT LABOR
Wages -Casual labor-1099,CONTRACT LABOR,CONTRACT LABOR
Wages - Security/Bouncer-1099,CONTRACT LABOR,CONTRACT LABOR
Other Employee Expenses - Other,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff Recruitment,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff Uniforms,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff Meals,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff relations/morale,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff Accommodation/Relocation,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Staff First Aid,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Employee Parking / Bus Passes,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Safety & Training Programs,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Advertising and Promotion - Other,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Advertising,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Public Relations,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Branding & Design,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
R & D,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Event Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Commission Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Subscriptions,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Photgraphy Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Travel and Entertainment - Other,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Airfare,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Meals & Entertainment,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Lodging,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Taxi Charges & Local Travel,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
General and Administrative Exps - Other,PROFESSIONAL FEES,PROFESSIONAL FEES
Chargebacks,Other Expenses,Other Expenses
Extra/Short Receipts,Other Expenses,Other Expenses
Under/Over,Other Expenses,Other Expenses
Digital Sales - Adjustment,Other Expenses,Other Expenses
Supplies and Maintenanc - Other,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Linen & Laundry,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
